Symbol,Ex_Date,Pre_Drop_Price,Dividend_Amount,Yield_Percent,Volume_On_ExDate,Price_Drop_Percent,Log_Price,Volatility_20d,Return_5d_Before,Volume_Ratio,Day_of_Week,Month,TARGET_Recovery_Days
360ONE,2019-10-31,267.71,2.5,0.93,165132.0,-2.0919,5.5899,0.02778,8.5363,1.496,3,10,0
360ONE,2020-01-29,268.66,2.5,0.93,24232.0,0.9885,5.5935,0.035627,-0.7228,0.4416,2,1,1
360ONE,2020-08-26,236.26,10.0,4.23,100268.0,-0.405,5.465,0.030976,0.9664,1.2729,2,8,0
360ONE,2021-02-11,261.84,7.5,2.86,257136.0,-4.5592,5.5677,0.020783,13.9528,0.9048,3,2,0
360ONE,2021-08-10,355.51,8.75,2.46,413536.0,0.4532,5.8735,0.047149,16.5306,0.3556,1,8,6
360ONE,2021-11-03,355.17,5.0,1.41,92064.0,-3.2165,5.8726,0.036687,0.2513,0.2894,2,11,0
360ONE,2022-06-01,357.53,5.0,1.4,153368.0,-2.1114,5.8792,0.03005,6.8595,1.0257,2,6,0
360ONE,2022-08-01,386.56,3.75,0.97,149972.0,-0.2173,5.9573,0.016727,1.7775,1.1587,0,8,0
360ONE,2022-10-28,418.87,4.25,1.01,154812.0,-1.4479,6.0376,0.023862,-0.7243,1.1127,4,10,0
360ONE,2023-01-30,440.78,4.25,0.96,231740.0,0.5177,6.0886,0.015627,-2.6401,0.7546,0,1,2
360ONE,2023-05-12,383.05,4.0,1.04,144530.0,-2.5445,5.9482,0.017353,-2.6576,0.2916,4,5,0
360ONE,2023-07-28,492.09,4.0,0.81,97934.0,-0.4523,6.1987,0.015584,-0.6687,0.3729,4,7,0
360ONE,2023-11-10,528.09,4.0,0.76,142699.0,-0.2123,6.2693,0.021081,2.7396,0.2574,4,11,0
360ONE,2024-01-29,614.43,4.5,0.73,899275.0,-1.3265,6.4207,0.020007,-1.9983,2.5589,0,1,0
360ONE,2024-05-02,769.92,3.5,0.45,530029.0,0.8327,6.6463,0.026821,-2.165,0.4521,3,5,1
360ONE,2024-08-07,980.66,2.5,0.25,607371.0,-0.9579,6.8882,0.031687,-12.1964,0.7591,2,8,0
360ONE,2025-04-29,972.95,6.0,0.62,731964.0,-0.5266,6.8803,0.044738,-2.9589,0.5026,1,4,0
360ONE,2025-10-27,1179.7,6.0,0.51,607697.0,0.5679,7.073,0.012205,1.7856,0.6993,0,10,23
3MINDIA,2022-11-21,22589.67,850.0,3.76,4007.0,-1.1613,10.0252,0.017579,-0.6847,0.9039,0,11,0
3MINDIA,2023-07-26,27183.55,100.0,0.37,1568.0,0.6482,10.2104,0.011871,1.1667,0.4402,2,7,3
3MINDIA,2024-07-05,38184.28,685.0,1.79,8303.0,0.1856,10.5502,0.016641,7.3929,0.7647,4,7,1
3MINDIA,2025-07-25,31145.0,535.0,1.72,8420.0,-0.2729,10.3464,0.00908,5.9532,1.3249,4,7,0
ABB,2016-04-13,1187.96,3.7,0.31,56256.0,0.4913,7.08,0.017802,4.1622,0.6855,2,4,242
ABB,2017-04-28,1230.31,4.0,0.33,60493.0,-0.4957,7.115,0.020492,0.457,0.3443,4,4,0
ABB,2018-04-27,1176.98,4.4,0.37,74053.0,-0.2054,7.0707,0.013637,5.2927,0.7037,4,4,0
ABB,2019-04-26,1315.54,4.8,0.36,81370.0,0.5381,7.182,0.013605,4.0089,0.6096,4,4,3
ABB,2020-07-16,881.43,4.8,0.54,144234.0,-0.5383,6.7816,0.017157,-2.4448,0.4786,3,7,0
ABB,2021-04-19,1341.57,5.0,0.37,177488.0,-2.1078,7.2016,0.019682,-0.6556,1.5541,0,4,0
ABB,2022-04-27,2049.99,5.2,0.25,111258.0,-0.096,7.6256,0.017825,-2.3205,0.5809,2,4,0
ABB,2023-04-27,3346.82,5.5,0.16,327674.0,-0.4993,8.1158,0.015513,6.7786,0.8732,3,4,0
ABB,2023-08-25,4275.85,5.5,0.13,220479.0,2.0074,8.3607,0.014852,1.3425,0.8397,4,8,3
ABB,2024-05-03,6596.72,23.8,0.36,337954.0,-0.5985,8.7943,0.020996,3.8994,1.0007,4,5,0
ABB,2024-08-23,7786.39,10.66,0.14,141683.0,0.677,8.9601,0.021687,-0.6529,0.4081,4,8,2
ABB,2025-05-02,5478.52,33.5,0.61,203903.0,0.8745,8.6086,0.020943,-2.9182,0.4436,4,5,6
ABB,2025-08-08,5108.73,9.77,0.19,348746.0,1.6977,8.5387,0.017421,-4.993,0.7376,4,8,7
ACC,2016-08-02,1533.31,11.0,0.72,158612.0,0.4232,7.3352,0.013613,0.7938,0.5176,1,8,3
ACC,2017-03-16,1298.04,6.0,0.46,284330.0,-0.5373,7.1686,0.008237,1.6059,0.9004,3,3,0
ACC,2017-07-25,1582.95,11.0,0.69,338103.0,-0.7147,7.367,0.015278,-1.9693,0.6263,1,7,0
ACC,2018-05-17,1303.04,15.0,1.15,331066.0,-0.3367,7.1725,0.010156,-5.5594,0.9789,3,5,0
ACC,2019-03-05,1383.24,14.0,1.01,1391740.0,-4.3742,7.2322,0.016209,7.67,1.6037,1,3,0
ACC,2020-05-19,1069.26,14.0,1.31,1149445.0,-1.5974,6.9747,0.033298,-2.8306,0.6525,1,5,0
ACC,2021-03-30,1776.72,14.0,0.79,621135.0,-1.4124,7.4825,0.022881,0.1048,0.4811,1,3,0
ACC,2022-04-04,2068.09,58.0,2.8,655757.0,-1.2637,7.6344,0.017344,4.4352,1.3382,0,4,0
ACC,2023-07-07,1798.69,9.25,0.51,1083059.0,1.0822,7.4948,0.010803,0.3667,2.3971,4,7,6
ACC,2024-06-14,2617.73,7.5,0.29,706685.0,-1.2708,7.8701,0.040674,5.47,1.272,4,6,0
ACC,2025-06-13,1858.0,7.5,0.4,463928.0,0.6351,7.5273,0.010013,-2.0375,1.6644,4,6,1
ACMESOLAR,2025-05-02,208.83,0.2,0.1,628317.0,-2.7989,5.3415,0.026461,-5.9138,0.6916,4,5,0
ACMESOLAR,2026-02-06,226.91,0.2,0.09,292514.0,2.3445,5.4246,0.02777,0.5891,0.3813,4,2,1
AIAENG,2017-02-20,1427.13,4.0,0.28,80344.0,2.0542,7.2634,0.025847,8.8281,1.1008,0,2,17
AIAENG,2017-08-04,1341.7,4.0,0.3,7608.0,-2.1131,7.2017,0.01756,-2.9822,0.2069,4,8,0
AIAENG,2018-04-04,1357.05,8.0,0.59,7933.0,-1.6843,7.2131,0.021252,0.6858,0.3076,2,4,0
AIAENG,2019-08-02,1649.78,9.0,0.55,6081.0,0.1781,7.4084,0.014224,-0.0552,0.2779,4,8,32
AIAENG,2020-03-17,1611.48,27.0,1.68,62402.0,6.1797,7.3849,0.032085,-5.8509,0.7154,1,3,35
AIAENG,2021-08-26,1897.61,9.0,0.47,31398.0,-0.5184,7.5483,0.013852,-2.6303,0.5814,3,8,0
AIAENG,2022-09-02,2582.46,9.0,0.35,59496.0,0.7416,7.8565,0.024541,1.2224,0.6377,4,9,12
AIAENG,2023-09-12,3752.79,16.0,0.43,46305.0,2.705,8.2303,0.01257,3.2945,0.6708,1,9,89
AIAENG,2024-08-20,4556.07,16.0,0.35,29252.0,1.1343,8.4242,0.024701,-4.5177,0.2617,1,8,250
AIAENG,2025-09-04,3059.3,16.0,0.52,29316.0,-0.3955,8.0259,0.011567,1.9189,0.43,3,9,0
APLAPOLLO,2016-09-08,89.93,1.0,1.11,124120.0,-0.6302,4.499,0.013727,-2.6941,0.7043,3,9,0
APLAPOLLO,2017-09-21,176.16,1.2,0.68,134150.0,1.7782,5.1714,0.020763,5.7425,0.8866,3,9,8
APLAPOLLO,2018-09-19,148.87,1.4,0.94,107340.0,-1.3861,5.0031,0.016181,0.0422,0.6285,2,9,0
APLAPOLLO,2019-09-19,125.94,1.4,1.11,60980.0,0.0431,4.8358,0.018585,0.4123,0.3155,3,9,1
APLAPOLLO,2022-09-02,1014.05,3.5,0.35,604589.0,-1.0688,6.9217,0.033705,0.2731,1.0447,4,9,0
APLAPOLLO,2023-09-01,1658.52,5.0,0.3,1030008.0,-3.5195,7.4137,0.023066,-1.1211,1.0416,4,9,0
APLAPOLLO,2024-09-19,1426.92,5.5,0.39,395562.0,0.4854,7.2633,0.017672,1.0546,0.7745,3,9,1
APLAPOLLO,2025-08-22,1647.45,5.75,0.35,221056.0,-0.1244,7.407,0.02425,2.779,0.2508,4,8,0
AUBANK,2018-07-30,316.01,0.25,0.08,3648620.0,-0.6841,5.7558,0.017498,-0.8646,1.9777,0,7,0
AUBANK,2019-07-18,332.66,0.38,0.11,163624.0,-0.1047,5.8071,0.01434,-0.4832,0.493,3,7,0
AUBANK,2022-07-28,578.95,0.5,0.09,1287017.0,-1.6255,6.3612,0.017432,-0.8351,0.6915,3,7,0
AUBANK,2023-07-14,757.07,1.0,0.13,1319880.0,-2.9044,6.6295,0.014632,-0.1904,0.8477,4,7,0
AUBANK,2024-07-12,631.62,1.0,0.16,2044302.0,-1.8027,6.4483,0.016159,-5.8281,0.5023,4,7,0
AUBANK,2025-07-04,810.85,1.0,0.12,880959.0,-1.0668,6.6981,0.016792,0.3523,0.2672,4,7,0
AARTIIND,2017-09-18,207.42,0.25,0.12,102372.0,0.2247,5.3348,0.017377,2.587,0.5406,0,9,4
AARTIIND,2018-09-11,314.74,0.25,0.08,62050.0,1.5276,5.7518,0.020271,-0.1463,0.5155,1,9,3
AARTIIND,2019-02-12,364.77,1.0,0.27,364420.0,3.664,5.8993,0.021918,-8.6565,1.1307,1,2,28
AARTIIND,2019-08-27,367.92,1.75,0.48,272664.0,-4.5356,5.9079,0.025208,-1.3514,0.905,1,8,0
AARTIIND,2020-02-24,510.33,1.25,0.24,540072.0,1.5028,6.2351,0.031854,2.7399,0.8853,0,2,41
AARTIIND,2020-09-10,497.64,0.5,0.1,483458.0,-2.7936,6.2099,0.025543,-4.5947,0.4086,3,9,0
AARTIIND,2020-11-19,563.69,0.75,0.13,903330.0,-0.3628,6.3345,0.0205,5.6883,1.9717,3,11,0
AARTIIND,2021-09-20,912.63,1.5,0.16,904824.0,2.5472,6.8163,0.014943,-0.3122,0.7842,0,9,5
AARTIIND,2021-11-10,941.55,1.0,0.11,649338.0,-0.5195,6.8475,0.026479,-0.454,0.7614,2,11,0
AARTIIND,2022-02-15,952.17,1.0,0.11,628989.0,-2.2803,6.8587,0.019874,-1.6032,0.9005,1,2,0
AARTIIND,2022-09-16,897.42,1.5,0.17,1109635.0,2.313,6.7995,0.014651,5.5187,1.6548,4,9,250
AARTIIND,2023-02-15,533.2,1.0,0.19,465550.0,-0.2234,6.2789,0.023094,-1.7616,0.5887,2,2,0
AARTIIND,2023-07-28,456.87,1.5,0.33,650668.0,-0.4142,6.1244,0.015142,-2.1577,0.4123,4,7,0
AARTIIND,2024-07-26,688.07,1.0,0.15,975697.0,-2.5438,6.5339,0.017038,2.912,1.1172,4,7,0
AARTIIND,2025-08-18,375.1,1.0,0.27,726007.0,-2.3061,5.9272,0.022674,0.2666,0.3716,0,8,0
ABBOTINDIA,2016-07-08,4254.87,35.0,0.82,969.0,0.3946,8.3558,0.010042,3.6903,0.5194,4,7,1
ABBOTINDIA,2017-07-10,3841.42,40.0,1.04,1239.0,-2.3766,8.2536,0.010542,1.9464,0.4257,0,7,0
ABBOTINDIA,2018-07-10,6464.81,55.0,0.85,10200.0,0.086,8.7741,0.019428,0.8517,1.2062,1,7,2
ABBOTINDIA,2019-08-13,8242.8,65.0,0.79,17233.0,-1.4799,9.0171,0.014973,8.0189,2.2885,1,8,0
ABBOTINDIA,2020-08-28,15657.45,250.0,1.6,11894.0,-0.0057,9.6587,0.017581,1.3352,0.6074,4,8,0
ABBOTINDIA,2021-07-19,16280.72,275.0,1.69,8646.0,-0.7833,9.6977,0.01006,0.9579,0.6579,0,7,0
ABBOTINDIA,2022-08-02,19434.7,275.0,1.41,26850.0,-1.1866,9.8748,0.013026,5.7499,2.1798,1,8,0
ABBOTINDIA,2023-07-21,22691.74,325.0,1.43,7258.0,0.6694,10.0298,0.009656,1.5935,0.748,4,7,4
ABBOTINDIA,2024-07-19,27995.74,410.0,1.46,16887.0,3.4577,10.2398,0.012986,3.4616,1.0726,4,7,5
ABBOTINDIA,2025-07-25,34105.0,475.0,1.39,5504.0,0.9529,10.4372,0.017556,1.3333,0.5419,4,7,2
ACE,2017-09-20,67.28,0.3,0.45,284807.0,0.7189,4.2089,0.041479,2.1199,0.5195,2,9,11
ACE,2018-09-18,122.91,0.5,0.41,151650.0,1.1458,4.8114,0.021591,-7.8012,0.674,1,9,250
ACE,2019-09-18,64.29,0.5,0.78,107584.0,-1.446,4.1635,0.055207,-10.4801,0.4285,2,9,0
ACE,2020-03-20,40.37,0.5,1.24,206357.0,-4.0491,3.698,0.036128,-17.9921,1.4727,4,3,0
ACE,2021-08-25,198.07,0.5,0.25,1476675.0,-10.2281,5.2886,0.030761,-8.2588,1.8407,2,8,0
ACE,2022-09-09,305.67,0.6,0.2,2085647.0,-0.2116,5.7225,0.036305,6.9121,1.6231,4,9,0
ACE,2023-08-17,779.5,1.0,0.13,202969.0,-1.3165,6.6587,0.03235,-1.1919,0.3262,3,8,0
ACE,2024-08-19,1259.36,2.0,0.16,559816.0,-3.8707,7.1384,0.02317,-1.7794,1.885,0,8,0
ACE,2025-08-14,937.6,2.0,0.21,346847.0,0.5546,6.8433,0.022605,-14.9606,1.4086,3,8,1
ADANIENT,2017-07-31,74.03,0.39,0.52,3185169.0,0.064,4.3045,0.017755,-1.1052,0.3942,0,7,1
ADANIENT,2018-07-27,124.93,0.39,0.31,44416991.0,0.6318,4.8277,0.039679,21.3562,1.4387,4,7,5
ADANIENT,2019-07-29,130.22,0.39,0.3,4349871.0,1.5306,4.8692,0.023545,0.1519,0.7097,0,7,9
ADANIENT,2020-03-23,136.4,0.97,0.71,1456143.0,11.5779,4.9156,0.051296,2.2272,0.3445,0,3,3
ADANIENT,2021-07-01,1503.9,0.97,0.06,3759914.0,1.084,7.3158,0.039574,-0.063,0.2504,3,7,25
ADANIENT,2022-07-14,2349.31,0.97,0.04,933554.0,-1.2994,7.7619,0.020241,3.4824,0.6174,3,7,0
ADANIENT,2023-07-07,2399.61,1.16,0.05,1823645.0,0.9217,7.7831,0.023709,0.6218,0.296,4,7,1
ADANIENT,2024-06-14,3221.94,1.26,0.04,4224855.0,-1.1854,8.0777,0.055426,0.1631,0.8657,4,6,0
ADANIENT,2025-06-13,2542.44,1.26,0.05,695869.0,1.3585,7.8409,0.011858,0.3749,0.781,4,6,1
ADANIPORTS,2017-07-31,376.62,1.3,0.35,1581010.0,-0.3676,5.9312,0.006473,1.8793,0.4831,0,7,0
ADANIPORTS,2018-07-26,380.72,2.0,0.53,2388169.0,-0.6427,5.9421,0.016695,7.8869,0.959,3,7,0
ADANIPORTS,2019-07-26,364.98,0.2,0.05,2701597.0,-0.3946,5.8999,0.016854,-6.2022,1.2596,4,7,0
ADANIPORTS,2020-03-16,281.07,3.2,1.14,7727458.0,9.722,5.6386,0.027759,-14.2501,1.8992,0,3,29
ADANIPORTS,2021-06-24,697.65,5.0,0.72,21503302.0,0.5324,6.5477,0.043559,11.0991,0.6573,3,6,2
ADANIPORTS,2022-07-14,710.41,5.0,0.7,2859869.0,-0.3741,6.5658,0.017767,3.2902,0.8316,3,7,0
ADANIPORTS,2023-07-28,736.99,5.0,0.68,3257195.0,-1.6067,6.6026,0.011496,2.7867,1.1217,4,7,0
ADANIPORTS,2024-06-14,1391.68,6.0,0.43,5651491.0,-2.3061,7.2383,0.060343,1.8566,0.5833,4,6,0
ADANIPORTS,2025-06-13,1438.8,7.0,0.49,3380550.0,2.3492,7.2716,0.011856,-1.7599,1.5574,4,6,10
ATGL,2019-07-26,159.42,0.25,0.16,274778.0,-0.4685,5.0715,0.021467,-2.3744,0.4053,4,7,0
ATGL,2020-03-26,83.79,0.25,0.3,2221897.0,-8.0453,4.4283,0.054412,-14.871,0.542,3,3,0
ATGL,2021-06-24,1316.33,0.25,0.02,121029.0,4.997,7.1826,0.044009,-0.4982,0.0455,3,6,44
ATGL,2022-07-14,2669.12,0.25,0.01,592269.0,-3.4807,7.8895,0.059322,7.4967,0.9817,3,7,0
ATGL,2023-07-07,648.09,0.25,0.04,495225.0,0.8096,6.474,0.012898,-0.8937,0.4944,4,7,12
ATGL,2024-06-14,945.2,0.25,0.03,784675.0,-0.1005,6.8514,0.05317,-3.3023,0.2368,4,6,0
ATGL,2025-06-13,672.5,0.25,0.04,959668.0,2.0372,6.511,0.017277,-1.0589,0.9385,4,6,10
ABREL,2016-07-18,643.68,5.5,0.85,601579.0,1.9834,6.4672,0.019828,-1.5237,0.6566,0,7,2
ABREL,2017-07-28,1117.72,5.5,0.49,211835.0,-1.1433,7.019,0.012963,1.8695,0.451,4,7,0
ABREL,2018-07-20,853.4,6.5,0.76,460141.0,0.7259,6.7492,0.026762,-0.5598,0.6034,4,7,1
ABREL,2019-07-19,905.04,7.5,0.83,687087.0,1.0673,6.808,0.019427,0.9882,1.2838,4,7,41
ABREL,2020-08-14,308.67,3.0,0.97,1503774.0,0.5425,5.7323,0.019568,-2.2706,0.8831,4,8,2
ABREL,2021-07-06,640.49,1.0,0.16,2473674.0,-7.0625,6.4622,0.026149,7.0993,2.0529,1,7,0
ABREL,2022-07-06,783.84,4.0,0.51,65509.0,-2.2264,6.6642,0.023187,-1.6099,0.5012,2,7,0
ABREL,2023-07-17,943.19,5.0,0.53,617065.0,-0.93,6.8493,0.027869,5.4896,1.1357,0,7,0
ABREL,2024-07-11,2179.89,5.0,0.23,194794.0,-0.2681,7.687,0.026781,-5.8468,0.5633,3,7,0
ABREL,2025-07-15,2229.6,2.0,0.09,61025.0,-0.2332,7.7096,0.013589,-0.4061,0.4787,1,7,0
ABSLAMC,2022-07-13,390.87,5.85,1.5,150923.0,2.0563,5.9684,0.013511,2.3887,1.5903,2,7,5
ABSLAMC,2023-03-24,330.7,5.0,1.51,249577.0,3.1775,5.8012,0.008155,-1.0152,2.5658,4,3,23
ABSLAMC,2023-08-04,386.54,5.25,1.36,51616.0,-0.7162,5.9572,0.01296,0.5023,0.4699,4,8,0
ABSLAMC,2024-08-01,674.52,13.5,2.0,316791.0,-0.0938,6.514,0.01727,1.3193,0.69,3,8,0
ABSLAMC,2025-07-23,873.4,24.0,2.75,395557.0,-0.5667,6.7724,0.017655,2.8716,0.8729,2,7,0
AEGISLOG,2025-06-25,779.13,2.0,0.26,264059.0,-1.3624,6.6582,0.012957,1.6656,0.4393,2,6,0
AEGISLOG,2025-07-18,745.55,6.0,0.8,275059.0,0.5902,6.6141,0.019472,1.7258,0.3916,4,7,1
AFCONS,2025-07-18,413.8,2.5,0.6,6073361.0,-0.8096,6.0254,0.010979,-2.0471,4.984,4,7,0
AJANTPHARM,2016-11-07,1141.88,4.0,0.35,369093.0,-2.4347,7.0404,0.016577,-8.0697,1.9449,0,11,0
AJANTPHARM,2017-03-23,1117.89,4.67,0.42,92302.0,-0.8577,7.0192,0.01029,3.8411,0.4981,3,3,0
AJANTPHARM,2018-11-09,651.54,6.0,0.92,324433.0,-2.1719,6.4793,0.024724,-2.3059,0.6706,4,11,0
AJANTPHARM,2019-11-15,602.82,8.67,1.44,57639.0,-0.8519,6.4016,0.019657,-1.5888,0.3435,4,11,0
AJANTPHARM,2020-11-12,971.25,6.33,0.65,227086.0,0.7461,6.8786,0.017558,-3.7606,0.8198,3,11,1
AJANTPHARM,2021-11-09,1376.62,6.33,0.46,95070.0,1.0068,7.2274,0.016775,-1.0732,0.9872,1,11,3
AJANTPHARM,2022-11-11,1190.45,7.0,0.59,93745.0,-0.8621,7.0821,0.020422,-6.9526,1.1971,4,11,0
AJANTPHARM,2023-08-04,1643.48,25.0,1.52,278870.0,-2.9737,7.4046,0.02181,6.5481,0.6319,4,8,0
AJANTPHARM,2024-02-08,2186.84,26.0,1.19,212438.0,1.2817,7.6902,0.022898,3.4934,2.0124,3,2,34
AJANTPHARM,2024-11-06,3049.49,28.0,0.92,82964.0,-1.0442,8.0227,0.022218,3.8393,0.6892,2,11,0
AJANTPHARM,2025-11-10,2496.2,28.0,1.12,70310.0,-1.306,7.8225,0.014713,2.3892,0.6143,0,11,0
AKZOINDIA,2016-07-19,1236.55,70.0,5.66,17893.0,1.2585,7.1201,0.012014,2.185,1.4345,1,7,7
AKZOINDIA,2017-08-04,1393.2,22.0,1.58,7283.0,-3.6503,7.2394,0.009663,-2.6275,0.6286,4,8,0
AKZOINDIA,2018-07-25,1485.06,22.0,1.48,12196.0,0.052,7.3032,0.007236,-0.1891,0.9631,2,7,1
AKZOINDIA,2019-07-31,1403.44,24.0,1.71,5247.0,-2.7577,7.2467,0.008311,-0.5249,2.0741,2,7,0
AKZOINDIA,2020-08-20,1692.64,14.0,0.83,11205.0,-1.6837,7.434,0.016667,2.2533,0.6104,3,8,0
AKZOINDIA,2021-02-17,1820.26,20.0,1.1,10788.0,-0.0115,7.5067,0.023225,-0.7723,0.4381,2,2,0
AKZOINDIA,2021-08-05,1875.65,30.0,1.6,9693.0,-0.5891,7.5367,0.006124,-0.8027,1.2464,3,8,0
AKZOINDIA,2022-02-22,1638.9,40.0,2.44,18405.0,-1.5623,7.4018,0.008259,0.0259,1.012,1,2,0
AKZOINDIA,2022-07-28,1715.54,35.0,2.04,9829.0,-2.1735,7.4475,0.013344,2.4066,1.1045,3,7,0
AKZOINDIA,2023-02-21,1948.76,25.0,1.28,5048.0,0.3279,7.5749,0.014658,1.0561,0.3668,1,2,2
AKZOINDIA,2023-07-27,2424.36,40.0,1.65,23186.0,-2.6247,7.7933,0.018168,0.7839,1.1893,3,7,0
AKZOINDIA,2024-02-16,2539.6,50.0,1.97,42668.0,-3.3004,7.8398,0.022638,-2.6496,1.271,4,2,0
AKZOINDIA,2024-07-25,2611.41,25.0,0.96,9672.0,0.0143,7.8676,0.016597,-3.6529,0.7553,3,7,1
AKZOINDIA,2024-11-19,3451.41,70.0,2.03,8400.0,-0.3247,8.1465,0.043146,-4.1335,0.1818,1,11,0
AKZOINDIA,2025-07-25,3678.03,30.0,0.82,23368.0,1.9701,8.2101,0.024025,6.6041,0.0975,4,7,250
AKZOINDIA,2025-08-11,3488.6,156.0,4.47,79907.0,1.0262,8.1573,0.019822,-2.0795,1.3348,0,8,77
APLLTD,2016-07-20,517.49,4.0,0.77,55843.0,-2.284,6.249,0.015737,-1.2771,0.4506,2,7,0
APLLTD,2017-07-11,464.87,4.0,0.86,217988.0,-4.7934,6.1418,0.014034,0.9959,3.799,1,7,0
APLLTD,2018-07-18,471.35,4.0,0.85,13108.0,-0.1356,6.1556,0.017434,-1.9595,0.1408,2,7,0
APLLTD,2019-07-18,480.47,5.5,1.14,16047.0,-0.6816,6.1748,0.025822,-2.3741,0.197,3,7,0
APLLTD,2020-03-16,529.64,10.0,1.89,251293.0,4.8303,6.2722,0.024874,-8.2681,1.2061,0,3,14
APLLTD,2021-07-19,909.35,14.0,1.54,224201.0,-0.2409,6.8127,0.010443,-0.6819,0.6757,0,7,0
APLLTD,2022-08-17,627.0,10.0,1.59,78862.0,-1.2188,6.4409,0.012714,-0.8362,0.7992,2,8,0
APLLTD,2023-07-28,708.54,8.0,1.13,2102194.0,-7.274,6.5632,0.021605,6.0442,7.545,4,7,0
APLLTD,2024-07-15,964.82,11.0,1.14,186130.0,-0.6458,6.8719,0.024351,0.071,0.5864,0,7,0
APLLTD,2025-07-29,989.4,11.0,1.11,115741.0,-2.4055,6.8971,0.017207,-1.5742,0.5944,1,7,0
ALKEM,2016-11-23,1529.13,6.0,0.39,36703.0,-1.8215,7.3325,0.0184,1.7096,0.7269,2,11,0
ALKEM,2017-08-31,1624.17,9.0,0.55,28084.0,-1.9105,7.3927,0.021226,-1.6533,0.6972,3,8,0
ALKEM,2018-02-16,1960.47,6.0,0.31,14370.0,-1.787,7.5809,0.010308,-1.9676,0.5622,4,2,0
ALKEM,2018-08-23,1930.97,7.0,0.36,31153.0,0.5892,7.5658,0.024572,4.1809,0.3187,3,8,4
ALKEM,2019-02-15,1674.96,8.0,0.48,23429.0,0.33,7.4235,0.00966,-4.0639,0.9656,4,2,1
ALKEM,2019-08-19,1637.05,8.0,0.49,6369.0,0.0029,7.4007,0.01487,2.3647,0.1746,0,8,1
ALKEM,2020-02-13,2468.48,22.0,0.89,74610.0,0.2879,7.8114,0.017106,10.2445,0.5673,3,2,1
ALKEM,2020-08-10,2806.71,3.0,0.11,517064.0,0.0319,7.9398,0.024476,6.8531,1.4451,0,8,103
ALKEM,2021-02-11,2719.42,25.0,0.92,59000.0,-1.0415,7.9082,0.012932,-3.05,0.4528,3,2,0
ALKEM,2021-08-09,3299.88,5.0,0.15,455771.0,-1.3729,8.1016,0.015557,-0.2972,1.7833,0,8,0
ALKEM,2022-02-10,3349.66,30.0,0.9,14214.0,-0.321,8.1166,0.013878,-0.5257,0.1307,3,2,0
ALKEM,2022-08-08,2988.19,4.0,0.13,643468.0,4.0,8.0024,0.016137,-3.1592,5.0363,0,8,20
ALKEM,2023-02-17,3179.32,40.0,1.26,45807.0,0.1745,8.0644,0.011415,0.454,0.39,4,2,1
ALKEM,2023-08-10,4112.98,10.0,0.24,229756.0,1.7986,8.3219,0.014645,5.0666,0.9548,3,8,60
ALKEM,2024-02-16,5179.25,35.0,0.68,273500.0,-3.2044,8.5524,0.021088,-0.3257,0.9486,4,2,0
ALKEM,2024-08-09,5583.24,5.0,0.09,1337022.0,-2.0204,8.6275,0.017079,7.3889,5.7042,4,8,0
ALKEM,2025-02-14,4637.48,37.0,0.8,223062.0,0.6631,8.4419,0.020052,-8.3823,1.3942,4,2,1
ALKEM,2025-08-08,4825.1,8.0,0.17,45812.0,2.0559,8.4816,0.010233,-0.5511,0.4337,4,8,2
ALKEM,2026-02-20,5334.0,43.0,0.81,66662.0,-1.0874,8.5819,0.022356,-0.472,0.458,4,2,0
ALKYLAMINE,2017-07-14,158.81,2.0,1.26,44442.0,-0.8966,5.0677,0.023096,6.5048,1.0266,4,7,0
ALKYLAMINE,2018-07-20,246.77,2.8,1.13,5202.0,4.083,5.5084,0.02099,-1.0129,0.8324,4,7,1
ALKYLAMINE,2019-07-26,290.91,3.2,1.1,2652.0,-1.9069,5.673,0.010146,-4.5105,0.2284,4,7,0
ALKYLAMINE,2020-02-18,603.72,4.0,0.66,47500.0,-0.0711,6.4031,0.016878,1.3976,0.5417,1,2,0
ALKYLAMINE,2020-08-06,966.61,4.0,0.41,102670.0,1.9954,6.8738,0.020382,9.6729,1.1183,3,8,2
ALKYLAMINE,2021-02-12,2092.85,4.0,0.19,153822.0,-0.2289,7.6463,0.020167,7.7906,1.2625,4,2,0
ALKYLAMINE,2021-07-12,3614.01,6.0,0.17,130861.0,-1.7144,8.1926,0.011589,-1.3958,1.9717,0,7,0
ALKYLAMINE,2022-07-22,2755.47,10.0,0.36,51341.0,-0.566,7.9213,0.013285,7.3037,1.8373,4,7,0
ALKYLAMINE,2023-07-04,2696.79,10.0,0.37,17478.0,0.7953,7.8998,0.016964,3.2343,0.4023,1,7,250
ALKYLAMINE,2024-06-25,2087.74,10.0,0.48,51576.0,-1.1061,7.6438,0.01845,5.7134,0.7882,1,6,0
ALKYLAMINE,2025-06-24,2149.6,10.0,0.47,175225.0,-2.2423,7.673,0.018825,11.1935,1.9951,1,6,0
ARE&M,2024-07-18,1540.91,5.1,0.33,1178767.0,-0.1055,7.3401,0.047335,-6.8232,0.3629,3,7,0
ARE&M,2024-11-14,1227.49,5.3,0.43,355341.0,-1.1683,7.1127,0.025526,-4.9457,0.5684,3,11,0
ARE&M,2025-08-01,953.03,5.2,0.55,374294.0,0.4695,6.8596,0.012641,-3.1266,0.6509,4,8,11
