Symbol,Ex_Date,Pre_Drop_Price,Dividend_Amount,Yield_Percent,Volume_On_ExDate,TARGET_Recovery_Days
360ONE,2019-10-31,267.71,2.5,0.93,165132.0,0
360ONE,2020-01-29,268.66,2.5,0.93,24232.0,1
360ONE,2020-08-26,236.26,10.0,4.23,100268.0,0
360ONE,2021-02-11,261.84,7.5,2.86,257136.0,0
360ONE,2021-08-10,355.51,8.75,2.46,413536.0,6
360ONE,2021-11-03,355.17,5.0,1.41,92064.0,0
360ONE,2022-06-01,357.53,5.0,1.4,153368.0,0
360ONE,2022-08-01,386.56,3.75,0.97,149972.0,0
360ONE,2022-10-28,418.87,4.25,1.01,154812.0,0
360ONE,2023-01-30,440.78,4.25,0.96,231740.0,2
360ONE,2023-05-12,383.05,4.0,1.04,144530.0,0
360ONE,2023-07-28,492.09,4.0,0.81,97934.0,0
360ONE,2023-11-10,528.09,4.0,0.76,142699.0,0
360ONE,2024-01-29,614.43,4.5,0.73,899275.0,0
360ONE,2024-05-02,769.92,3.5,0.45,530029.0,1
360ONE,2024-08-07,980.66,2.5,0.25,607371.0,0
360ONE,2025-04-29,972.95,6.0,0.62,731964.0,0
360ONE,2025-10-27,1179.7,6.0,0.51,607697.0,23
3MINDIA,2022-11-21,22589.67,850.0,3.76,4007.0,0
3MINDIA,2023-07-26,27183.55,100.0,0.37,1568.0,3
3MINDIA,2024-07-05,38184.28,685.0,1.79,8303.0,1
3MINDIA,2025-07-25,31145.0,535.0,1.72,8420.0,0
ABB,2016-04-13,1187.96,3.7,0.31,56256.0,242
ABB,2017-04-28,1230.31,4.0,0.33,60493.0,0
ABB,2018-04-27,1176.98,4.4,0.37,74053.0,0
ABB,2019-04-26,1315.54,4.8,0.36,81370.0,3
ABB,2020-07-16,881.43,4.8,0.54,144234.0,0
ABB,2021-04-19,1341.57,5.0,0.37,177488.0,0
ABB,2022-04-27,2049.99,5.2,0.25,111258.0,0
ABB,2023-04-27,3346.82,5.5,0.16,327674.0,0
ABB,2023-08-25,4275.85,5.5,0.13,220479.0,3
ABB,2024-05-03,6596.72,23.8,0.36,337954.0,0
ABB,2024-08-23,7786.39,10.66,0.14,141683.0,2
ABB,2025-05-02,5478.52,33.5,0.61,203903.0,6
ABB,2025-08-08,5108.73,9.77,0.19,348746.0,7
ACC,2016-08-02,1533.31,11.0,0.72,158612.0,3
ACC,2017-03-16,1298.04,6.0,0.46,284330.0,0
ACC,2017-07-25,1582.95,11.0,0.69,338103.0,0
ACC,2018-05-17,1303.04,15.0,1.15,331066.0,0
ACC,2019-03-05,1383.24,14.0,1.01,1391740.0,0
ACC,2020-05-19,1069.26,14.0,1.31,1149445.0,0
ACC,2021-03-30,1776.72,14.0,0.79,621135.0,0
ACC,2022-04-04,2068.09,58.0,2.8,655757.0,0
ACC,2023-07-07,1798.69,9.25,0.51,1083059.0,6
ACC,2024-06-14,2617.73,7.5,0.29,706685.0,0
ACC,2025-06-13,1858.0,7.5,0.4,463928.0,1
ACMESOLAR,2025-05-02,208.83,0.2,0.1,628317.0,0
ACMESOLAR,2026-02-06,226.91,0.2,0.09,292514.0,1
AIAENG,2016-03-17,836.96,18.0,2.15,60788.0,0
AIAENG,2017-02-20,1427.13,4.0,0.28,80344.0,17
AIAENG,2017-08-04,1341.7,4.0,0.3,7608.0,0
AIAENG,2018-04-04,1357.05,8.0,0.59,7933.0,0
AIAENG,2019-08-02,1649.78,9.0,0.55,6081.0,32
AIAENG,2020-03-17,1611.48,27.0,1.68,62402.0,35
AIAENG,2021-08-26,1897.61,9.0,0.47,31398.0,0
AIAENG,2022-09-02,2582.46,9.0,0.35,59496.0,12
AIAENG,2023-09-12,3752.79,16.0,0.43,46305.0,89
AIAENG,2025-09-04,3059.3,16.0,0.52,29316.0,0
APLAPOLLO,2016-09-08,89.93,1.0,1.11,124120.0,0
APLAPOLLO,2017-09-21,176.16,1.2,0.68,134150.0,8
APLAPOLLO,2018-09-19,148.87,1.4,0.94,107340.0,0
APLAPOLLO,2019-09-19,125.94,1.4,1.11,60980.0,1
APLAPOLLO,2022-09-02,1014.05,3.5,0.35,604589.0,0
APLAPOLLO,2023-09-01,1658.52,5.0,0.3,1030008.0,0
APLAPOLLO,2024-09-19,1426.92,5.5,0.39,395562.0,1
APLAPOLLO,2025-08-22,1647.45,5.75,0.35,221056.0,0
AUBANK,2018-07-30,316.01,0.25,0.08,3648620.0,0
AUBANK,2019-07-18,332.66,0.38,0.11,163624.0,0
AUBANK,2022-07-28,578.95,0.5,0.09,1287017.0,0
AUBANK,2023-07-14,757.07,1.0,0.13,1319880.0,0
AUBANK,2024-07-12,631.62,1.0,0.16,2044302.0,0
AUBANK,2025-07-04,810.85,1.0,0.12,880959.0,0
AARTIIND,2016-03-22,111.32,0.88,0.79,42025.0,2
AARTIIND,2017-09-18,207.42,0.25,0.12,102372.0,4
AARTIIND,2018-09-11,314.74,0.25,0.08,62050.0,3
AARTIIND,2019-02-12,364.77,1.0,0.27,364420.0,28
AARTIIND,2019-08-27,367.92,1.75,0.48,272664.0,0
AARTIIND,2020-02-24,510.33,1.25,0.24,540072.0,41
AARTIIND,2020-09-10,497.64,0.5,0.1,483458.0,0
AARTIIND,2020-11-19,563.69,0.75,0.13,903330.0,0
AARTIIND,2021-09-20,912.63,1.5,0.16,904824.0,5
AARTIIND,2021-11-10,941.55,1.0,0.11,649338.0,0
AARTIIND,2022-02-15,952.17,1.0,0.11,628989.0,0
AARTIIND,2023-02-15,533.2,1.0,0.19,465550.0,0
AARTIIND,2023-07-28,456.87,1.5,0.33,650668.0,0
AARTIIND,2024-07-26,688.07,1.0,0.15,975697.0,0
AARTIIND,2025-08-18,375.1,1.0,0.27,726007.0,0
ABBOTINDIA,2016-07-08,4254.87,35.0,0.82,969.0,1
ABBOTINDIA,2017-07-10,3841.42,40.0,1.04,1239.0,0
ABBOTINDIA,2018-07-10,6464.81,55.0,0.85,10200.0,2
ABBOTINDIA,2019-08-13,8242.8,65.0,0.79,17233.0,0
ABBOTINDIA,2020-08-28,15657.45,250.0,1.6,11894.0,0
ABBOTINDIA,2021-07-19,16280.72,275.0,1.69,8646.0,0
ABBOTINDIA,2022-08-02,19434.7,275.0,1.41,26850.0,0
ABBOTINDIA,2023-07-21,22691.73,325.0,1.43,7258.0,4
ABBOTINDIA,2024-07-19,27995.74,410.0,1.46,16887.0,5
ABBOTINDIA,2025-07-25,34105.0,475.0,1.39,5504.0,2
ACE,2016-03-22,34.92,0.2,0.57,164012.0,0
ACE,2017-09-20,67.28,0.3,0.45,284807.0,11
ACE,2018-09-18,122.91,0.5,0.41,151650.0,541
ACE,2019-09-18,64.29,0.5,0.78,107584.0,0
ACE,2020-03-20,40.37,0.5,1.24,206357.0,0
ACE,2021-08-25,198.07,0.5,0.25,1476675.0,0
ACE,2022-09-09,305.67,0.6,0.2,2085647.0,0
ACE,2023-08-17,779.5,1.0,0.13,202969.0,0
ACE,2024-08-19,1259.36,2.0,0.16,559816.0,0
ACE,2025-08-14,937.6,2.0,0.21,346847.0,1
ADANIENT,2016-03-22,36.24,0.39,1.07,3518755.0,0
ADANIENT,2017-07-31,74.03,0.39,0.52,3185169.0,1
ADANIENT,2018-07-27,124.93,0.39,0.31,44416991.0,5
ADANIENT,2019-07-29,130.22,0.39,0.3,4349871.0,9
ADANIENT,2020-03-23,136.4,0.97,0.71,1456143.0,3
ADANIENT,2021-07-01,1503.9,0.97,0.06,3759914.0,25
ADANIENT,2022-07-14,2349.31,0.97,0.04,933554.0,0
ADANIENT,2023-07-07,2399.61,1.16,0.05,1823645.0,1
ADANIENT,2024-06-14,3221.94,1.26,0.04,4224855.0,0
ADANIENT,2025-06-13,2542.44,1.26,0.05,695869.0,1
ADANIPORTS,2016-03-22,231.01,1.1,0.48,3153670.0,4
ADANIPORTS,2017-07-31,376.62,1.3,0.35,1581010.0,0
ADANIPORTS,2018-07-26,380.72,2.0,0.53,2388169.0,0
ADANIPORTS,2019-07-26,364.98,0.2,0.05,2701597.0,0
ADANIPORTS,2020-03-16,281.07,3.2,1.14,7727458.0,29
ADANIPORTS,2021-06-24,697.65,5.0,0.72,21503302.0,2
ADANIPORTS,2022-07-14,710.41,5.0,0.7,2859869.0,0
ADANIPORTS,2023-07-28,736.99,5.0,0.68,3257195.0,0
ADANIPORTS,2024-06-14,1391.68,6.0,0.43,5651491.0,0
ADANIPORTS,2025-06-13,1438.8,7.0,0.49,3380550.0,10
ATGL,2019-07-26,159.42,0.25,0.16,274778.0,0
ATGL,2020-03-26,83.79,0.25,0.3,2221897.0,0
ATGL,2021-06-24,1316.33,0.25,0.02,121029.0,44
ATGL,2022-07-14,2669.12,0.25,0.01,592269.0,0
ATGL,2023-07-07,648.09,0.25,0.04,495225.0,12
ATGL,2024-06-14,945.2,0.25,0.03,784675.0,0
ATGL,2025-06-13,672.5,0.25,0.04,959668.0,10
ABREL,2016-07-18,643.68,5.5,0.85,601579.0,2
ABREL,2017-07-28,1117.72,5.5,0.49,211835.0,0
ABREL,2018-07-20,853.4,6.5,0.76,460141.0,1
ABREL,2019-07-19,905.04,7.5,0.83,687087.0,41
ABREL,2020-08-14,308.67,3.0,0.97,1503774.0,2
ABREL,2021-07-06,640.49,1.0,0.16,2473674.0,0
ABREL,2022-07-06,783.84,4.0,0.51,65509.0,0
ABREL,2023-07-17,943.19,5.0,0.53,617065.0,0
ABREL,2024-07-11,2179.89,5.0,0.23,194794.0,0
ABREL,2025-07-15,2229.6,2.0,0.09,61025.0,0
ABSLAMC,2021-11-03,589.37,5.6,0.95,89927.0,1
ABSLAMC,2022-07-13,390.87,5.85,1.5,150923.0,5
ABSLAMC,2023-03-24,330.7,5.0,1.51,249577.0,23
ABSLAMC,2023-08-04,386.54,5.25,1.36,51616.0,0
ABSLAMC,2024-08-01,674.52,13.5,2.0,316791.0,0
ABSLAMC,2025-07-23,873.4,24.0,2.75,395557.0,0
AEGISLOG,2024-06-26,810.79,2.0,0.25,575791.0,0
AEGISLOG,2025-06-25,779.13,2.0,0.26,264059.0,0
AEGISLOG,2025-07-18,745.55,6.0,0.8,275059.0,1
AFCONS,2025-07-18,413.8,2.5,0.6,6073361.0,0
AJANTPHARM,2016-03-17,837.71,5.33,0.64,296445.0,3
AJANTPHARM,2016-11-07,1141.88,4.0,0.35,369093.0,0
AJANTPHARM,2017-03-23,1117.89,4.67,0.42,92302.0,0
AJANTPHARM,2018-11-09,651.54,6.0,0.92,324433.0,0
AJANTPHARM,2019-11-15,602.82,8.67,1.44,57639.0,0
AJANTPHARM,2020-11-12,971.25,6.33,0.65,227086.0,1
AJANTPHARM,2021-11-09,1376.62,6.33,0.46,95070.0,3
AJANTPHARM,2022-11-11,1190.45,7.0,0.59,93745.0,0
AJANTPHARM,2023-08-04,1643.48,25.0,1.52,278870.0,0
AJANTPHARM,2024-02-08,2186.84,26.0,1.19,212438.0,34
AJANTPHARM,2024-11-06,3049.49,28.0,0.92,82964.0,0
AJANTPHARM,2025-11-10,2496.2,28.0,1.12,70310.0,0
AKZOINDIA,2016-07-19,1236.55,70.0,5.66,17893.0,7
AKZOINDIA,2017-08-04,1393.2,22.0,1.58,7283.0,0
AKZOINDIA,2018-07-25,1485.06,22.0,1.48,12196.0,1
AKZOINDIA,2019-07-31,1403.44,24.0,1.71,5247.0,0
AKZOINDIA,2020-08-20,1692.64,14.0,0.83,11205.0,0
AKZOINDIA,2021-02-17,1820.26,20.0,1.1,10788.0,0
AKZOINDIA,2021-08-05,1875.65,30.0,1.6,9693.0,0
AKZOINDIA,2022-02-22,1638.9,40.0,2.44,18405.0,0
AKZOINDIA,2022-07-28,1715.54,35.0,2.04,9829.0,0
AKZOINDIA,2023-02-21,1948.76,25.0,1.28,5048.0,2
AKZOINDIA,2023-07-27,2424.36,40.0,1.65,23186.0,0
AKZOINDIA,2024-02-16,2539.6,50.0,1.97,42668.0,0
AKZOINDIA,2024-07-25,2611.41,25.0,0.96,9672.0,1
AKZOINDIA,2024-11-19,3451.41,70.0,2.03,8400.0,0
AKZOINDIA,2025-08-11,3488.6,156.0,4.47,79907.0,77
APLLTD,2016-07-20,517.49,4.0,0.77,55843.0,0
APLLTD,2017-07-11,464.87,4.0,0.86,217988.0,0
APLLTD,2018-07-18,471.35,4.0,0.85,13108.0,0
APLLTD,2019-07-18,480.47,5.5,1.14,16047.0,0
APLLTD,2020-03-16,529.64,10.0,1.89,251293.0,14
APLLTD,2021-07-19,909.35,14.0,1.54,224201.0,0
APLLTD,2022-08-17,627.0,10.0,1.59,78862.0,0
APLLTD,2023-07-28,708.54,8.0,1.13,2102194.0,0
APLLTD,2024-07-15,964.82,11.0,1.14,186130.0,0
APLLTD,2025-07-29,989.4,11.0,1.11,115741.0,0
ALKEM,2016-03-18,1222.38,9.7,0.79,105456.0,0
ALKEM,2016-11-23,1529.13,6.0,0.39,36703.0,0
ALKEM,2017-08-31,1624.17,9.0,0.55,28084.0,0
ALKEM,2018-02-16,1960.47,6.0,0.31,14370.0,0
ALKEM,2018-08-23,1930.97,7.0,0.36,31153.0,4
ALKEM,2019-02-15,1674.96,8.0,0.48,23429.0,1
ALKEM,2019-08-19,1637.05,8.0,0.49,6369.0,1
ALKEM,2020-02-13,2468.48,22.0,0.89,74610.0,1
ALKEM,2020-08-10,2806.71,3.0,0.11,517064.0,103
ALKEM,2021-02-11,2719.42,25.0,0.92,59000.0,0
ALKEM,2021-08-09,3299.88,5.0,0.15,455771.0,0
ALKEM,2022-02-10,3349.66,30.0,0.9,14214.0,0
ALKEM,2022-08-08,2988.19,4.0,0.13,643468.0,20
ALKEM,2023-02-17,3179.32,40.0,1.26,45807.0,1
ALKEM,2023-08-10,4112.98,10.0,0.24,229756.0,60
ALKEM,2024-02-16,5179.25,35.0,0.68,273500.0,0
ALKEM,2024-08-09,5583.24,5.0,0.09,1337022.0,0
ALKEM,2025-02-14,4637.48,37.0,0.8,223062.0,1
ALKEM,2025-08-08,4825.1,8.0,0.17,45812.0,2
ALKEM,2026-02-20,5334.0,43.0,0.81,66662.0,0
ALKYLAMINE,2016-03-16,117.95,4.0,3.39,7437.0,3
ALKYLAMINE,2017-07-14,158.81,2.0,1.26,44442.0,0
ALKYLAMINE,2018-07-20,246.77,2.8,1.13,5202.0,1
ALKYLAMINE,2019-07-26,290.91,3.2,1.1,2652.0,0
ALKYLAMINE,2020-02-18,603.72,4.0,0.66,47500.0,0
ALKYLAMINE,2020-08-06,966.61,4.0,0.41,102670.0,2
ALKYLAMINE,2021-02-12,2092.85,4.0,0.19,153822.0,0
ALKYLAMINE,2021-07-12,3614.01,6.0,0.17,130861.0,0
ALKYLAMINE,2022-07-22,2755.47,10.0,0.36,51341.0,0
ALKYLAMINE,2024-06-25,2087.74,10.0,0.48,51576.0,0
ALKYLAMINE,2025-06-24,2149.6,10.0,0.47,175225.0,0
ARE&M,2023-11-10,614.84,4.8,0.78,136433.0,0
ARE&M,2024-07-18,1540.91,5.1,0.33,1178767.0,0
ARE&M,2024-11-14,1227.49,5.3,0.43,355341.0,0
ARE&M,2025-08-01,953.03,5.2,0.55,374294.0,11
ARE&M,2025-11-13,958.7,5.4,0.56,303294.0,0
AMBER,2019-11-19,997.85,1.6,0.16,5608.0,6
AMBER,2020-03-26,1140.05,1.6,0.14,118843.0,0
AMBUJACEM,2016-08-02,234.39,1.6,0.68,1581110.0,3
AMBUJACEM,2017-03-16,202.72,1.2,0.59,1385524.0,0
AMBUJACEM,2017-08-02,228.09,1.6,0.7,2324968.0,0
AMBUJACEM,2018-04-05,208.2,2.0,0.96,2110899.0,0
AMBUJACEM,2019-02-27,188.45,1.5,0.8,2325569.0,0
AMBUJACEM,2020-05-19,153.86,1.5,0.97,3512226.0,0
AMBUJACEM,2020-11-05,238.39,17.0,7.13,12065738.0,0
AMBUJACEM,2021-03-19,270.82,1.0,0.37,6753108.0,0
AMBUJACEM,2022-03-30,292.48,6.3,2.15,6489029.0,0
AMBUJACEM,2023-07-07,426.15,2.5,0.59,3734746.0,12
AMBUJACEM,2024-06-14,660.08,2.0,0.3,15699653.0,0
AMBUJACEM,2025-06-13,546.35,2.0,0.37,1348657.0,1
ANANDRATHI,2022-01-19,293.14,2.5,0.85,290090.0,0
ANANDRATHI,2022-08-02,315.01,3.0,0.95,94232.0,0
ANANDRATHI,2022-10-20,342.6,2.5,0.73,43462.0,2
ANANDRATHI,2023-05-29,416.66,3.5,0.84,32306.0,0
ANANDRATHI,2023-10-20,934.29,2.5,0.27,89174.0,0
ANANDRATHI,2024-06-03,2076.89,4.5,0.22,79456.0,95
ANANDRATHI,2024-10-18,2023.16,3.5,0.17,822646.0,0
ANANDRATHI,2025-05-09,1672.26,7.0,0.42,161225.0,0
ANANDRATHI,2025-10-17,3097.2,6.0,0.19,478299.0,0
ANANTRAJ,2016-09-22,22.22,0.24,1.08,3314552.0,0
ANANTRAJ,2017-09-21,24.35,0.24,0.99,2598708.0,25
ANANTRAJ,2018-09-19,20.01,0.24,1.2,1827427.0,501
ANANTRAJ,2019-09-20,14.42,0.24,1.66,1729312.0,3
ANANTRAJ,2020-12-22,24.29,0.08,0.33,576182.0,1
ANANTRAJ,2021-09-22,65.03,0.1,0.15,1176311.0,0
ANANTRAJ,2022-07-01,50.64,0.12,0.24,380697.0,0
ANANTRAJ,2023-06-27,165.76,0.5,0.3,1532873.0,0
ANANTRAJ,2024-07-12,502.66,0.73,0.15,652523.0,5
ANANTRAJ,2025-07-16,606.47,0.73,0.12,4827734.0,45
ANGELONE,2020-11-02,31.24,0.41,1.33,9333390.0,9
ANGELONE,2021-04-29,32.7,0.75,2.29,3194670.0,0
ANGELONE,2021-07-23,121.96,0.52,0.42,3774790.0,48
ANGELONE,2021-10-27,118.54,0.57,0.48,3804300.0,54
ANGELONE,2022-01-24,139.41,0.7,0.5,17197650.0,36
ANGELONE,2022-04-08,154.92,0.7,0.45,15866330.0,0
ANGELONE,2022-05-23,133.58,0.23,0.17,3939100.0,6
ANGELONE,2022-07-21,124.92,0.77,0.61,6543490.0,0
ANGELONE,2022-10-20,150.74,0.9,0.6,4500750.0,0
ANGELONE,2023-01-24,122.11,0.96,0.79,1160980.0,54
ANGELONE,2023-03-31,110.31,0.96,0.87,4061050.0,0
ANGELONE,2023-06-16,149.45,0.4,0.27,2876160.0,2
ANGELONE,2023-07-21,150.56,0.93,0.61,10019140.0,0
ANGELONE,2023-10-20,212.2,1.27,0.6,34062390.0,0
ANGELONE,2024-01-23,323.77,1.27,0.39,6183790.0,6
ANGELONE,2025-01-21,251.93,1.1,0.44,10966990.0,76
ANGELONE,2025-03-20,216.62,1.1,0.51,19063150.0,0
ANGELONE,2025-05-30,295.02,2.6,0.88,10458100.0,0
ANGELONE,2026-01-21,261.28,2.3,0.88,11161270.0,4
APARINDS,2016-03-22,413.41,6.5,1.57,6036.0,0
APARINDS,2017-08-01,694.91,10.0,1.44,6853.0,0
APARINDS,2018-08-01,556.56,9.5,1.71,7342.0,3
APARINDS,2019-07-31,464.38,9.5,2.05,9612.0,6
APARINDS,2020-03-05,352.67,9.5,2.69,52361.0,188
APARINDS,2021-08-05,659.26,9.5,1.44,213812.0,45
APARINDS,2022-08-04,1180.15,15.0,1.27,354806.0,2
APARINDS,2023-08-04,3572.07,40.0,1.12,65769.0,0
APARINDS,2024-08-20,8249.01,51.0,0.62,93976.0,0
APARINDS,2025-07-29,8614.0,51.0,0.59,1057407.0,0
APOLLOHOSP,2016-03-22,1353.46,6.0,0.44,287944.0,44
APOLLOHOSP,2017-09-07,1065.32,6.0,0.56,380813.0,0
APOLLOHOSP,2018-09-12,1081.07,5.0,0.46,824802.0,0
APOLLOHOSP,2019-09-12,1466.9,6.0,0.41,2491122.0,24
APOLLOHOSP,2020-02-25,1768.16,3.25,0.18,459592.0,2
APOLLOHOSP,2020-09-17,1664.39,2.75,0.17,2006191.0,0
APOLLOHOSP,2021-08-18,4856.99,3.0,0.06,2941548.0,8
APOLLOHOSP,2022-08-18,4252.77,11.75,0.28,580509.0,8
APOLLOHOSP,2023-02-24,4405.34,6.0,0.14,358946.0,0
APOLLOHOSP,2023-08-18,4852.32,9.0,0.19,336848.0,1
APOLLOHOSP,2024-02-20,6614.3,6.0,0.09,559251.0,0
APOLLOHOSP,2024-08-16,6479.75,10.0,0.15,611092.0,0
APOLLOHOSP,2025-02-14,6346.64,9.0,0.14,320088.0,2
APOLLOHOSP,2025-08-19,7802.14,10.0,0.13,384598.0,0
APOLLOHOSP,2026-02-16,7532.5,10.0,0.13,494924.0,0
APOLLOTYRE,2016-08-01,140.91,2.0,1.42,2180723.0,0
APOLLOTYRE,2017-06-27,215.81,3.0,1.39,2949329.0,1
APOLLOTYRE,2018-07-18,245.17,3.0,1.22,2547022.0,1
APOLLOTYRE,2019-07-23,156.45,3.25,2.08,7116134.0,23
APOLLOTYRE,2020-03-04,129.12,3.0,2.32,4106501.0,0
APOLLOTYRE,2021-07-15,223.76,3.5,1.56,6258720.0,47
APOLLOTYRE,2022-06-16,175.74,3.25,1.85,3807016.0,7
APOLLOTYRE,2023-07-14,408.04,4.5,1.1,1639042.0,2
APOLLOTYRE,2024-07-05,513.39,6.0,1.17,2008857.0,0
APOLLOTYRE,2025-07-11,464.02,5.0,1.08,1096347.0,27
APOLLOTYRE,2026-02-10,502.45,3.5,0.7,1060494.0,0
APTUS,2022-12-08,293.51,2.0,0.68,3622618.0,1
APTUS,2023-05-12,247.91,2.0,0.81,188033.0,0
APTUS,2024-02-09,357.41,2.0,0.56,347397.0,151
APTUS,2024-05-15,310.13,2.5,0.81,100279.0,16
APTUS,2024-11-14,310.62,2.0,0.64,478334.0,0
APTUS,2025-05-16,322.85,2.5,0.77,633664.0,0
APTUS,2025-11-07,292.85,2.0,0.68,1075032.0,6
ASAHIINDIA,2016-08-04,171.8,0.6,0.35,112845.0,0
ASAHIINDIA,2017-08-02,278.55,1.0,0.36,17708.0,2
ASAHIINDIA,2018-07-30,319.37,1.5,0.47,33767.0,0
ASAHIINDIA,2019-07-29,196.35,1.0,0.51,28404.0,0
ASAHIINDIA,2020-03-19,179.3,1.0,0.56,39952.0,50
ASAHIINDIA,2021-09-21,353.47,1.0,0.28,29924.0,1
ASAHIINDIA,2022-09-07,653.98,2.0,0.31,606449.0,0
ASAHIINDIA,2023-09-11,579.25,2.0,0.35,118882.0,4
ASAHIINDIA,2024-08-28,651.4,2.0,0.31,74819.0,4
ASAHIINDIA,2025-09-03,841.65,2.0,0.24,83032.0,4
ASHOKLEY,2016-07-13,39.05,0.47,1.22,35654100.0,3
ASHOKLEY,2017-07-11,44.32,0.78,1.76,46848912.0,0
ASHOKLEY,2018-07-09,56.6,1.22,2.15,52598416.0,0
ASHOKLEY,2019-07-23,34.58,1.55,4.48,67148382.0,57
ASHOKLEY,2020-03-19,29.14,0.25,0.86,166428008.0,102
ASHOKLEY,2021-08-31,55.63,0.3,0.54,40093494.0,0
ASHOKLEY,2022-07-14,65.74,0.5,0.76,11165760.0,1
ASHOKLEY,2023-07-07,76.45,1.3,1.7,28839572.0,0
ASHOKLEY,2024-04-03,82.96,2.48,2.98,28497846.0,0
ASHOKLEY,2024-11-19,106.51,1.0,0.94,16245712.0,0
ASHOKLEY,2025-05-22,119.37,2.12,1.78,14472238.0,5
ASHOKLEY,2025-11-18,147.45,1.0,0.68,11015324.0,6
ASIANPAINT,2016-06-16,920.48,5.3,0.58,740810.0,0
ASIANPAINT,2016-11-01,991.67,2.65,0.27,983171.0,0
ASIANPAINT,2017-06-15,1068.18,7.65,0.72,1003963.0,1
ASIANPAINT,2017-10-31,1106.16,2.65,0.24,279632.0,0
ASIANPAINT,2018-06-14,1206.01,6.05,0.5,507824.0,0
ASIANPAINT,2018-10-29,1121.18,2.85,0.25,1186190.0,0
ASIANPAINT,2019-06-13,1345.9,7.65,0.57,1572720.0,0
ASIANPAINT,2019-10-30,1722.25,3.35,0.19,1133258.0,0
ASIANPAINT,2020-03-03,1699.33,7.15,0.42,1392463.0,0
ASIANPAINT,2020-07-23,1619.22,1.5,0.09,2375218.0,0
ASIANPAINT,2020-10-28,2100.46,3.35,0.16,3166047.0,1
ASIANPAINT,2021-06-10,2817.48,14.5,0.51,1344559.0,0
ASIANPAINT,2021-10-28,2976.77,3.65,0.12,1791065.0,0
ASIANPAINT,2022-06-09,2605.23,15.5,0.59,1857501.0,1
ASIANPAINT,2022-10-31,2957.51,4.4,0.15,814364.0,0
ASIANPAINT,2023-06-09,3115.86,21.25,0.68,1239045.0,1
ASIANPAINT,2023-11-03,2885.81,5.15,0.18,715997.0,0
ASIANPAINT,2024-06-11,2873.39,28.15,0.98,855430.0,2
ASIANPAINT,2024-11-19,2452.96,4.25,0.17,941508.0,0
ASIANPAINT,2025-06-10,2223.88,20.55,0.92,1809051.0,4
ASIANPAINT,2025-11-18,2883.4,4.5,0.16,1819066.0,0
ASTERDM,2024-04-23,389.4,118.0,30.3,6174501.0,0
ASTERDM,2024-08-22,395.12,2.0,0.51,793893.0,0
ASTERDM,2025-02-10,468.42,4.0,0.85,664393.0,32
ASTERDM,2025-08-28,600.0,1.0,0.17,501510.0,1
ASTRAZEN,2019-08-20,1709.61,1.0,0.06,11693.0,0
ASTRAZEN,2020-08-20,3311.16,2.0,0.06,21092.0,2
ASTRAZEN,2021-08-18,3071.68,2.0,0.07,12823.0,9
ASTRAZEN,2022-07-07,2898.73,8.0,0.28,9773.0,1
ASTRAZEN,2023-07-14,3728.47,16.0,0.43,8725.0,1
ASTRAZEN,2024-07-05,7080.65,24.0,0.34,65575.0,14
ASTRAZEN,2025-07-18,9362.0,32.0,0.34,24592.0,53
ASTRAL,2016-03-17,179.06,0.11,0.06,24566.0,3
ASTRAL,2016-11-24,179.46,0.09,0.05,64588.0,0
ASTRAL,2017-07-31,279.77,0.14,0.05,93506.0,5
ASTRAL,2017-11-20,348.85,0.11,0.03,138895.0,0
ASTRAL,2018-08-14,497.35,0.16,0.03,78442.0,0
ASTRAL,2018-11-20,457.96,0.14,0.03,170537.0,0
ASTRAL,2019-07-25,531.06,0.18,0.03,71975.0,0
ASTRAL,2019-10-31,619.54,0.23,0.04,200638.0,0
ASTRAL,2020-02-17,666.57,0.34,0.05,181166.0,0
ASTRAL,2020-11-12,681.44,0.56,0.08,381182.0,0
ASTRAL,2021-08-23,1531.8,0.75,0.05,373318.0,7
ASTRAL,2021-11-17,1736.13,0.94,0.05,794397.0,33
ASTRAL,2022-08-19,1518.0,1.31,0.09,387833.0,0
ASTRAL,2022-11-18,1403.43,0.94,0.07,535897.0,1
ASTRAL,2023-08-04,1983.33,2.25,0.11,1141954.0,0
ASTRAL,2023-10-27,1771.87,1.5,0.08,252287.0,0
ASTRAL,2024-08-16,1854.07,2.25,0.12,816779.0,0
ASTRAL,2024-11-14,1723.94,1.5,0.09,342533.0,0
ASTRAL,2025-08-14,1288.62,2.25,0.17,1459328.0,1
ASTRAL,2025-11-11,1566.9,1.5,0.1,274619.0,1
ATUL,2016-07-14,1947.62,10.0,0.51,51131.0,0
ATUL,2017-07-13,2355.73,10.0,0.42,32938.0,0
ATUL,2018-07-12,2723.98,12.0,0.44,4700.0,3
ATUL,2019-07-11,3685.91,15.0,0.41,12974.0,3
ATUL,2019-11-04,4234.87,12.5,0.3,10484.0,51
ATUL,2020-03-18,3917.59,15.0,0.38,43502.0,2
ATUL,2021-07-15,9141.85,20.0,0.22,10888.0,0
ATUL,2022-07-14,8302.8,25.0,0.3,21235.0,3
ATUL,2022-11-02,8275.9,7.5,0.09,9883.0,0
ATUL,2023-07-14,6482.64,25.0,0.39,20967.0,0
ATUL,2024-07-12,6790.01,20.0,0.29,247959.0,0
ATUL,2025-07-11,7480.0,25.0,0.33,25611.0,1
